<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKMP,D,20140623,000000,59.4700000
RTKMP,D,20140624,000000,61.0100000
RTKMP,D,20140625,000000,61.0000000
RTKMP,D,20140626,000000,60.8000000
RTKMP,D,20140627,000000,60.6300000
RTKMP,D,20140630,000000,61.1500000
RTKMP,D,20140701,000000,61.1500000
RTKMP,D,20140702,000000,62.1200000
RTKMP,D,20140703,000000,62.5300000
RTKMP,D,20140704,000000,62.4900000
RTKMP,D,20140707,000000,64.4000000
RTKMP,D,20140708,000000,65.2300000
RTKMP,D,20140709,000000,66.1000000
RTKMP,D,20140710,000000,67.5000000
RTKMP,D,20140711,000000,62.9300000
RTKMP,D,20140714,000000,62.1000000
RTKMP,D,20140715,000000,61.6000000
RTKMP,D,20140716,000000,62.8500000
RTKMP,D,20140717,000000,61.8000000
RTKMP,D,20140718,000000,60.1000000
RTKMP,D,20140721,000000,58.4900000
RTKMP,D,20140722,000000,59.6500000
RTKMP,D,20140723,000000,59.5900000
RTKMP,D,20140724,000000,60.1000000
RTKMP,D,20140725,000000,59.0200000
RTKMP,D,20140728,000000,57.8100000
RTKMP,D,20140729,000000,58.0800000
RTKMP,D,20140730,000000,59.0000000
RTKMP,D,20140731,000000,59.3000000
RTKMP,D,20140801,000000,59.2600000
RTKMP,D,20140804,000000,58.7900000
RTKMP,D,20140805,000000,58.0000000
RTKMP,D,20140806,000000,57.7500000
RTKMP,D,20140807,000000,57.5100000
RTKMP,D,20140808,000000,57.6700000
RTKMP,D,20140811,000000,58.5000000
RTKMP,D,20140812,000000,60.5000000
RTKMP,D,20140813,000000,63.5000000
RTKMP,D,20140814,000000,62.9300000
RTKMP,D,20140815,000000,63.3400000
RTKMP,D,20140818,000000,63.9000000
RTKMP,D,20140819,000000,65.1200000
RTKMP,D,20140820,000000,65.8000000
RTKMP,D,20140821,000000,65.8200000
RTKMP,D,20140822,000000,65.9800000
RTKMP,D,20140825,000000,65.8700000
RTKMP,D,20140826,000000,65.9000000
RTKMP,D,20140827,000000,66.1000000
RTKMP,D,20140828,000000,65.0400000
