<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20150202,000000,230.5500000
ROSN,D,20150203,000000,238.3500000
ROSN,D,20150204,000000,239.0000000
ROSN,D,20150205,000000,251.0000000
ROSN,D,20150206,000000,261.0000000
ROSN,D,20150209,000000,257.0000000
ROSN,D,20150210,000000,257.0500000
ROSN,D,20150211,000000,265.3500000
ROSN,D,20150212,000000,274.0500000
ROSN,D,20150213,000000,290.2000000
ROSN,D,20150216,000000,279.7000000
ROSN,D,20150217,000000,275.9500000
ROSN,D,20150218,000000,281.4500000
ROSN,D,20150219,000000,275.7500000
ROSN,D,20150220,000000,274.0000000
ROSN,D,20150224,000000,268.6500000
ROSN,D,20150225,000000,263.4500000
ROSN,D,20150226,000000,263.8500000
ROSN,D,20150227,000000,265.8500000
ROSN,D,20150302,000000,269.7000000
ROSN,D,20150303,000000,277.0000000
ROSN,D,20150304,000000,264.9500000
ROSN,D,20150305,000000,269.6000000
ROSN,D,20150306,000000,263.5000000
ROSN,D,20150310,000000,253.0000000
ROSN,D,20150311,000000,251.4500000
ROSN,D,20150312,000000,247.7000000
ROSN,D,20150313,000000,241.3000000
ROSN,D,20150316,000000,236.7000000
ROSN,D,20150317,000000,237.0000000
ROSN,D,20150318,000000,243.4000000
ROSN,D,20150319,000000,237.0500000
ROSN,D,20150320,000000,239.3000000
ROSN,D,20150323,000000,239.9500000
ROSN,D,20150324,000000,244.0000000
ROSN,D,20150325,000000,242.7000000
ROSN,D,20150326,000000,237.1000000
ROSN,D,20150327,000000,237.2500000
ROSN,D,20150330,000000,247.5000000
ROSN,D,20150331,000000,252.1500000
ROSN,D,20150401,000000,261.3500000
ROSN,D,20150402,000000,262.5500000
ROSN,D,20150403,000000,263.7000000
ROSN,D,20150406,000000,266.1500000
ROSN,D,20150407,000000,264.1000000
ROSN,D,20150408,000000,263.7000000
ROSN,D,20150409,000000,258.5500000
ROSN,D,20150410,000000,256.9500000
ROSN,D,20150413,000000,255.5000000
ROSN,D,20150414,000000,249.5000000
ROSN,D,20150415,000000,254.4000000
ROSN,D,20150416,000000,259.2500000
ROSN,D,20150417,000000,256.0000000
ROSN,D,20150420,000000,260.5000000
ROSN,D,20150421,000000,259.7000000
ROSN,D,20150422,000000,252.4000000
ROSN,D,20150423,000000,249.1000000
ROSN,D,20150424,000000,258.2000000
ROSN,D,20150427,000000,256.0000000
ROSN,D,20150428,000000,256.5500000
ROSN,D,20150429,000000,255.0000000
ROSN,D,20150430,000000,256.5000000
ROSN,D,20150505,000000,261.5000000
ROSN,D,20150506,000000,259.9000000
ROSN,D,20150507,000000,255.2500000
ROSN,D,20150508,000000,259.4500000
ROSN,D,20150512,000000,258.3500000
ROSN,D,20150513,000000,252.4500000
ROSN,D,20150514,000000,255.7000000
ROSN,D,20150515,000000,257.4500000
ROSN,D,20150518,000000,256.1000000
ROSN,D,20150519,000000,252.2500000
ROSN,D,20150520,000000,245.9000000
ROSN,D,20150521,000000,245.6500000
ROSN,D,20150522,000000,249.9000000
ROSN,D,20150525,000000,244.6000000
ROSN,D,20150526,000000,245.1500000
ROSN,D,20150527,000000,247.5000000
ROSN,D,20150528,000000,245.8000000
