"pricingdate","priceclose"
2012-10-02 00:00:00,11.900000
2012-10-03 00:00:00,11.860000
2012-10-04 00:00:00,11.850000
2012-10-05 00:00:00,12.130000
2012-10-08 00:00:00,11.970000
2012-10-09 00:00:00,11.950000
2012-10-10 00:00:00,11.930000
2012-10-11 00:00:00,11.980000
2012-10-12 00:00:00,11.870000
2012-10-15 00:00:00,11.780000
2012-10-16 00:00:00,11.950000
2012-10-17 00:00:00,12.170000
2012-10-18 00:00:00,12.220000
2012-10-19 00:00:00,12.130000
2012-10-22 00:00:00,12.190000
2012-10-23 00:00:00,11.930000
2012-10-24 00:00:00,11.930000
2012-10-25 00:00:00,11.870000
2012-10-26 00:00:00,11.730000
2012-10-29 00:00:00,11.690000
2012-10-30 00:00:00,11.620000
2012-10-31 00:00:00,11.760000
2012-11-01 00:00:00,11.800000
2012-11-02 00:00:00,11.700000
2012-11-05 00:00:00,11.550000
2012-11-06 00:00:00,11.650000
2012-11-07 00:00:00,11.470000
2012-11-08 00:00:00,10.900000
2012-11-09 00:00:00,10.860000
2012-11-12 00:00:00,10.990000
2012-11-13 00:00:00,10.640000
2012-11-14 00:00:00,10.600000
2012-11-15 00:00:00,10.880000
2012-11-16 00:00:00,10.810000
2012-11-19 00:00:00,11.100000
2012-11-20 00:00:00,11.150000
2012-11-21 00:00:00,11.230000
2012-11-22 00:00:00,11.430000
2012-11-23 00:00:00,11.700000
2012-11-26 00:00:00,11.490000
2012-11-27 00:00:00,11.470000
2012-11-28 00:00:00,11.330000
2012-11-29 00:00:00,11.350000
2012-11-30 00:00:00,11.830000
2012-12-03 00:00:00,11.980000
2012-12-04 00:00:00,11.900000
2012-12-05 00:00:00,12.210000
2012-12-06 00:00:00,12.130000
2012-12-07 00:00:00,12.030000
2012-12-10 00:00:00,12.240000
2012-12-11 00:00:00,12.180000
2012-12-12 00:00:00,12.210000
2012-12-13 00:00:00,12.130000
2012-12-14 00:00:00,12.170000
2012-12-17 00:00:00,12.110000
2012-12-18 00:00:00,12.310000
2012-12-19 00:00:00,12.310000
2012-12-20 00:00:00,12.300000
2012-12-21 00:00:00,11.950000
2012-12-24 00:00:00,12.020000
2012-12-27 00:00:00,12.150000
2012-12-28 00:00:00,12.280000
2012-12-31 00:00:00,12.300000
2013-01-02 00:00:00,12.950000
2013-01-03 00:00:00,13.230000
2013-01-04 00:00:00,13.200000
2013-01-07 00:00:00,13.000000
2013-01-08 00:00:00,13.030000
2013-01-09 00:00:00,13.000000
2013-01-10 00:00:00,13.100000
2013-01-11 00:00:00,13.200000
2013-01-14 00:00:00,13.430000
2013-01-15 00:00:00,13.280000
2013-01-16 00:00:00,13.240000
2013-01-17 00:00:00,13.460000
2013-01-18 00:00:00,13.700000
2013-01-21 00:00:00,13.770000
2013-01-22 00:00:00,13.610000
2013-01-23 00:00:00,13.630000
2013-01-24 00:00:00,13.690000
2013-01-25 00:00:00,13.900000
2013-01-28 00:00:00,14.260000
2013-01-29 00:00:00,14.250000
2013-01-30 00:00:00,14.360000
2013-01-31 00:00:00,14.750000
2013-02-01 00:00:00,14.520000
2013-02-04 00:00:00,14.350000
2013-02-05 00:00:00,14.430000
2013-02-06 00:00:00,14.160000
2013-02-07 00:00:00,13.900000
2013-02-08 00:00:00,14.310000
2013-02-11 00:00:00,14.240000
2013-02-12 00:00:00,14.630000
2013-02-13 00:00:00,14.520000
2013-02-14 00:00:00,14.410000
2013-02-15 00:00:00,14.020000
2013-02-18 00:00:00,14.140000
2013-02-19 00:00:00,14.520000
2013-02-20 00:00:00,14.530000
2013-02-21 00:00:00,14.150000
2013-02-22 00:00:00,14.010000
2013-02-25 00:00:00,14.110000
2013-02-26 00:00:00,13.670000
2013-02-27 00:00:00,13.600000
2013-02-28 00:00:00,13.790000
2013-03-01 00:00:00,13.540000
2013-03-04 00:00:00,13.400000
2013-03-05 00:00:00,13.720000
2013-03-06 00:00:00,13.900000
2013-03-07 00:00:00,13.770000
2013-03-08 00:00:00,14.180000
2013-03-11 00:00:00,14.030000
2013-03-12 00:00:00,13.810000
2013-03-13 00:00:00,13.600000
2013-03-14 00:00:00,13.730000
2013-03-15 00:00:00,13.680000
2013-03-18 00:00:00,13.040000
2013-03-19 00:00:00,12.940000
2013-03-20 00:00:00,13.410000
2013-03-21 00:00:00,13.140000
2013-03-22 00:00:00,12.900000
2013-03-25 00:00:00,12.690000
2013-03-26 00:00:00,12.630000
2013-03-27 00:00:00,12.470000
2013-03-28 00:00:00,12.820000
2013-04-02 00:00:00,12.660000
2013-04-03 00:00:00,12.570000
2013-04-04 00:00:00,12.570000
2013-04-05 00:00:00,12.500000
2013-04-08 00:00:00,12.800000
2013-04-09 00:00:00,12.930000
2013-04-10 00:00:00,13.140000
2013-04-11 00:00:00,13.100000
2013-04-12 00:00:00,12.670000
2013-04-15 00:00:00,12.160000
2013-04-16 00:00:00,12.260000
2013-04-17 00:00:00,11.960000
2013-04-18 00:00:00,12.040000
2013-04-19 00:00:00,12.230000
2013-04-22 00:00:00,12.010000
2013-04-23 00:00:00,12.230000
2013-04-24 00:00:00,12.490000
2013-04-25 00:00:00,12.410000
2013-04-26 00:00:00,12.250000
2013-04-29 00:00:00,12.270000
2013-04-30 00:00:00,12.860000
2013-05-01 00:00:00,12.940000
2013-05-02 00:00:00,12.970000
2013-05-03 00:00:00,13.310000
2013-05-07 00:00:00,13.600000
2013-05-08 00:00:00,13.690000
2013-05-09 00:00:00,13.380000
2013-05-10 00:00:00,13.250000
2013-05-13 00:00:00,13.280000
2013-05-14 00:00:00,13.330000
2013-05-15 00:00:00,13.220000
2013-05-16 00:00:00,13.120000
2013-05-17 00:00:00,13.470000
2013-05-20 00:00:00,13.700000
2013-05-21 00:00:00,14.000000
2013-05-22 00:00:00,14.260000
2013-05-23 00:00:00,13.480000
2013-05-24 00:00:00,13.190000
2013-05-28 00:00:00,13.260000
2013-05-29 00:00:00,12.700000
2013-05-30 00:00:00,12.610000
2013-05-31 00:00:00,12.360000
2013-06-03 00:00:00,12.420000
2013-06-04 00:00:00,12.430000
2013-06-05 00:00:00,12.160000
2013-06-06 00:00:00,12.010000
2013-06-07 00:00:00,12.320000
2013-06-10 00:00:00,12.120000
2013-06-11 00:00:00,11.630000
2013-06-12 00:00:00,11.750000
2013-06-13 00:00:00,11.460000
2013-06-14 00:00:00,11.830000
2013-06-17 00:00:00,12.040000
2013-06-18 00:00:00,12.090000
2013-06-19 00:00:00,11.720000
2013-06-20 00:00:00,11.110000
2013-06-21 00:00:00,11.100000
2013-06-24 00:00:00,10.810000
2013-06-25 00:00:00,10.880000
2013-06-26 00:00:00,11.250000
2013-06-27 00:00:00,11.400000
2013-06-28 00:00:00,11.390000
2013-07-01 00:00:00,11.600000
2013-07-02 00:00:00,11.450000
2013-07-03 00:00:00,11.220000
2013-07-04 00:00:00,11.350000
2013-07-05 00:00:00,11.220000
2013-07-08 00:00:00,11.190000
2013-07-09 00:00:00,11.210000
