<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,D,20101228,000000,194.4100000
GAZP,D,20101229,000000,192.5000000
GAZP,D,20101230,000000,193.5000000
GAZP,D,20110111,000000,194.1500000
GAZP,D,20110112,000000,200.6400000
GAZP,D,20110113,000000,197.4000000
GAZP,D,20110114,000000,195.9200000
GAZP,D,20110117,000000,198.7000000
GAZP,D,20110118,000000,198.8000000
GAZP,D,20110119,000000,198.1200000
GAZP,D,20110120,000000,194.2000000
GAZP,D,20110121,000000,192.7100000
GAZP,D,20110124,000000,189.0500000
GAZP,D,20110125,000000,190.0000000
GAZP,D,20110126,000000,197.1400000
GAZP,D,20110127,000000,201.3000000
GAZP,D,20110128,000000,199.7000000
GAZP,D,20110131,000000,196.9800000
GAZP,D,20110201,000000,204.9100000
GAZP,D,20110202,000000,209.5100000
GAZP,D,20110203,000000,207.0300000
GAZP,D,20110204,000000,213.3000000
GAZP,D,20110207,000000,213.6000000
GAZP,D,20110208,000000,210.4000000
GAZP,D,20110209,000000,215.1500000
GAZP,D,20110210,000000,208.2200000
GAZP,D,20110211,000000,208.5000000
GAZP,D,20110214,000000,203.5100000
GAZP,D,20110215,000000,199.5000000
GAZP,D,20110216,000000,199.4000000
GAZP,D,20110217,000000,195.4500000
GAZP,D,20110218,000000,195.5000000
GAZP,D,20110221,000000,198.9200000
GAZP,D,20110222,000000,197.8000000
GAZP,D,20110224,000000,208.0500000
GAZP,D,20110225,000000,209.3000000
GAZP,D,20110228,000000,210.7100000
GAZP,D,20110301,000000,209.4800000
GAZP,D,20110302,000000,212.0000000
GAZP,D,20110303,000000,213.5400000
GAZP,D,20110304,000000,212.9000000
GAZP,D,20110305,000000,214.1200000
GAZP,D,20110309,000000,214.7700000
GAZP,D,20110310,000000,207.9500000
GAZP,D,20110311,000000,209.1000000
GAZP,D,20110314,000000,216.2500000
GAZP,D,20110315,000000,217.5000000
GAZP,D,20110316,000000,221.8100000
GAZP,D,20110317,000000,224.9100000
GAZP,D,20110318,000000,224.1000000
GAZP,D,20110321,000000,222.3600000
GAZP,D,20110322,000000,220.3200000
GAZP,D,20110323,000000,223.5000000
GAZP,D,20110324,000000,224.3000000
GAZP,D,20110325,000000,222.8100000
GAZP,D,20110328,000000,225.5000000
GAZP,D,20110329,000000,224.0100000
GAZP,D,20110330,000000,229.3200000
GAZP,D,20110331,000000,229.0900000
GAZP,D,20110401,000000,235.1000000
GAZP,D,20110404,000000,237.7000000
GAZP,D,20110405,000000,238.7200000
GAZP,D,20110406,000000,239.4000000
GAZP,D,20110407,000000,238.0000000
GAZP,D,20110408,000000,243.2000000
GAZP,D,20110411,000000,244.0000000
GAZP,D,20110412,000000,235.5700000
GAZP,D,20110413,000000,235.0700000
GAZP,D,20110414,000000,228.8700000
GAZP,D,20110415,000000,227.6000000
GAZP,D,20110418,000000,218.9100000
GAZP,D,20110419,000000,225.6900000
GAZP,D,20110420,000000,230.5100000
GAZP,D,20110421,000000,235.0000000
GAZP,D,20110422,000000,236.8900000
GAZP,D,20110425,000000,233.9000000
GAZP,D,20110426,000000,232.1400000
GAZP,D,20110427,000000,231.9000000
GAZP,D,20110428,000000,231.9000000
GAZP,D,20110429,000000,231.7800000
GAZP,D,20110503,000000,221.6400000
GAZP,D,20110504,000000,212.4400000
GAZP,D,20110505,000000,208.8000000
GAZP,D,20110506,000000,211.6800000
GAZP,D,20110510,000000,214.0000000
GAZP,D,20110511,000000,210.0000000
GAZP,D,20110512,000000,203.1200000
GAZP,D,20110513,000000,201.0800000
GAZP,D,20110516,000000,198.4900000
GAZP,D,20110517,000000,198.5000000
GAZP,D,20110518,000000,202.8500000
GAZP,D,20110519,000000,201.3600000
GAZP,D,20110520,000000,196.9000000
GAZP,D,20110523,000000,190.3000000
GAZP,D,20110524,000000,195.5000000
GAZP,D,20110525,000000,196.7700000
GAZP,D,20110526,000000,195.0000000
GAZP,D,20110527,000000,201.8200000
GAZP,D,20110530,000000,203.8900000
GAZP,D,20110531,000000,204.0200000
GAZP,D,20110601,000000,203.4800000
GAZP,D,20110602,000000,201.6800000
GAZP,D,20110603,000000,196.5500000
GAZP,D,20110606,000000,195.9700000
GAZP,D,20110607,000000,204.6700000
GAZP,D,20110608,000000,207.1100000
GAZP,D,20110609,000000,211.9200000
GAZP,D,20110610,000000,209.2100000
GAZP,D,20110614,000000,208.2400000
GAZP,D,20110615,000000,206.0000000
GAZP,D,20110616,000000,204.6000000
GAZP,D,20110617,000000,200.8000000
GAZP,D,20110620,000000,199.0000000
GAZP,D,20110621,000000,200.9500000
GAZP,D,20110622,000000,202.5400000
